Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
UNITED BANK OF INDIA,PUBLIC,0.9706122,0.9012245,0.0130612,0.5485714,0.4995918,-2.265596,Q1,257827,20150331,12,IGAAP,82,,11.42,7.77,,,7.52,10.57,7.52,3.05,70550,10.57,8.43,1.42,1.99,9.49,6.22,0.21,1.598,71180.1,65529.1,46641.1,40813.8,24306.8,101681.4,49109.4,52571.9,10648,10596,52,,,,,,,63.47,2.21,2.06,10.8,6.88,2015
KARUR VYSYA BANK LTD.,PRIVATE,0.9977324,0.5555555,0.0362812,0.6485261,0.0907029,-2.135409,,117648,20150331,12,IGAAP,,,14.63,13.43,,,13.56,14.62,13.56,1.06,,14.62,10.21,1.1,1.78,1.85,0.78,0.88,0.645,2791.8,6777.8,1399.1,2809.7,3800,20687.1,13389.1,7298,240,220,20,,,,,,,,2.91,,12.14,7.96,2015
I C I C I BANK LTD.,PRIVATE,0.9807099,0.591821,0.1512346,0.6064815,0.4861112,-1.656071,,96379,20150331,12,IGAAP,,5448960,,,,,12.78,17.02,12.78,4.24,927440,17.02,8.19,2.03,3.29,3.78,1.61,1.86,1.6,105058.4,150946.9,32979.6,62555.3,88391.6,177209.9,58199.3,119010.6,1472,1398,74,,,,,,,,3.48,2.79,9.95,6.18,2015
INDIAN BANK,PUBLIC,0.9969136,0.8263889,0.1111111,0.5231481,0.3132715,-1.547519,,98668,20150331,12,IGAAP,82.1,,13.24,10.72,,,10.61,12.86,10.61,2.25,,12.86,859,74,163,4.4,2.5,0.54,0.495,45622,56704.4,27636.5,31469.5,21306.8,124348.9,100727.9,23621,5105,5077,28,,,,,,,76.13,2.5,,10.19,7.1,2015
LAKSHMI VILAS BANK LTD.,PRIVATE,0.9979339,0.6508265,0.0743802,0.4834711,0.4586777,-1.534892,,126471,20150331,12,IGAAP,,,0,0,,,9.33,11.34,9.33,2.01,,11.34,10.16,1.3,1.73,2.75,1.85,0.61,0.3,5464.6,4546.2,4433.9,3024.9,1163.5,13146.9,6483.1,6663.8,87,73,14,,,,,,,,,,,,2015
YES BANK LTD.,PRIVATE,0.9969136,0.4783951,0.0493827,0.6481482,0.2777778,-1.306864,,354608,20150331,12,IGAAP,,,,,,,11,15.6,11.5,4.1,161513,15.6,9.9,1.75,2.78,0.41,0.12,1.71,2.096,1749.3,3134,260.7,877.2,2256.8,4726.6,3673.3,1053.2,19,11,8,,,,,,,,3.2,,12.2,,2015
D C B BANK LTD.,PRIVATE,0.9924386,0.3175804,0.0170132,0.6427221,0.4536862,-1.16489,,59045,20150331,12,IGAAP,,105973.3,15.05,14.38,15691.6,14988.8,14.21,14.95,14.21,0.74,15847.6,14.95,10.2,1.19,1.99,1.76,1.01,1.37,0.6,1384.5,1860.7,740.2,1057,773.6,1455.7,1455.7,,17,17,,,,,,,,,3.72,,,,2015
CITY UNION BANK LTD.,PRIVATE,0.9940829,0.6213018,0.147929,0.556213,0.4615384,-1.10797,,48177,20150331,12,IGAAP,,,16.59,16.07,,,16.03,16.52,16.03,0.49,,16.52,10.17,1.52,2.61,1.86,1.3,1.49,0.9,2930.6,3358.2,1972.9,2327.9,1030.3,2608.2,1859.6,748.6,18,16,2,,,,,,,,3.44,,13.18,8.15,2015
AXIS BANK LTD.,PRIVATE,0.9853076,0.426079,0.0918274,0.661157,0.4958677,-1.028011,,256066,20150331,12,IGAAP,,3452004.4,,,,,12.07,15.09,12.07,3.02,521048.1,15.09,8.81,2.08,3.33,1.36,0.44,1.83,1.7,31464.1,41101.9,10246.2,13167.1,26922.6,119827.3,50934.3,68893,1677,1613,64,,,,,,,,3.92,,10.6,6.31,2015
KOTAK MAHINDRA BANK LTD.,PRIVATE,0.9965398,0.5017301,0.0034602,0.6020761,0.484429,-0.5624522,,122573,20150331,12,IGAAP,,,,,,,16.18,17.17,16.18,0.99,,17.17,10.31,2.15,3.18,1.85,0.92,1.98,1.1,10594.4,12372.3,5735.6,6090.8,6281.5,2797.1,2797.1,,3315,3315,,,,,,,,,4.87,,,,2015
INDUSIND BANK LTD.,PRIVATE,0.99,0.64,0.16,0.635,0.48,-0.4023948,Q2,100224,20150331,12,IGAAP,,,,,,,11.22,12.09,11.22,0.87,,12.09,10.27,2.7,3.28,0.81,0.31,1.9,0.938,6207.9,5629.2,1840.5,2104.8,3524.4,4379.9,325.7,4054.2,16,3,13,,,,,,,,3.65,,13.12,7.92,2015
CANARA BANK,PUBLIC,0.99,0.7696,0.1764,0.6504,0.4032,-0.3208601,,41860,20150331,12,IGAAP,69.91,,10.98,8.3,374790,28347,7.37,10.56,8.02,2.54,,10.56,8.88,0.92,1.41,3.89,2.65,0.55,0.5,75702.1,130399.6,59654.6,87400.9,42536.8,324638.2,223276.2,106217.7,52438,52349,89,,,,,,,71.25,2.25,1.94,10.75,7.38,2015
H D F C BANK LTD.,PRIVATE,0.9909297,0.5555555,0.0566893,0.6621315,0.4716553,-0.2964331,,88297,20150331,12,IGAAP,,4226699.2,,,,,13.66,16.79,13.66,3.13,709662.9,16.79,9.59,1.78,3.44,0.93,0.25,2.02,1,29892.8,34383.8,8200.3,8962.8,25421,5164.4,2090.8,3073.6,20,10,10,,,,,,,81.1,4.4,,,,2015
CENTRAL BANK OF INDIA,PUBLIC,0.9876543,0.84,0.1111111,0.6301234,0.4582716,-0.233069,,43461,20150331,12,IGAAP,81.46,,11.89,8.46,232690,165520,7.86,10.9,8.05,2.85,,10.9,9.29,0.67,1.25,6.09,3.61,0.21,0.153,115000,118730,66490,68070,47930,324750,239483,85260,30226,30156,70,,,,,,,76.29,2.79,,10.75,7.22,2015
BANK OF BARODA,PUBLIC,0.9979339,0.6508265,0.2732438,0.6043389,0.4473141,-0.2144168,,30136,20150331,12,IGAAP,57.53,,13.33,10.14,,,9.35,12.6,9.87,2.74,,12.6,6.62,0.68,1.53,,1.89,0.49,0.7,118759,162614.4,60347.6,80694.9,81919.5,318564.5,235334.3,83230.2,53187,53101,86,,,,,,,84.82,2.31,2.03,8.11,5.18,2015
I D B I BANK LTD.,PRIVATE,0.9967347,0.4481632,0.16,0.6530612,0.4995918,-0.0194573,,100283,20150331,12,IGAAP,76.5,,13.2,8.46,,,7.29,11.76,8.18,3.58,,11.76,9.45,1.35,1.92,5.88,2.88,0.29,0.5,99601.6,126849.7,49023,59925.2,66339.7,209358.9,103769.1,105589.9,445,350,95,,,,,,,,1.9,,,,2015
STATE BANK OF INDIA,PUBLIC,0.9971301,0.6734694,0.0717474,0.6224489,0.46875,0.1148001,,236328,20150331,12,IGAAP,58.6,,12.79,10.1,,,9.31,12,9.6,2.4,,12,7.61,1.13,1.94,4.25,2.12,0.68,0.6,616053.5,567253.4,310960.7,275905.8,291347.6,712286.7,392456.4,311150.1,4463,3812,175,,,,,,,,3.16,11.63,,6.34,2015
FEDERAL BANK LTD.,PRIVATE,0.9936,0.6864,0.2704,0.6656,0.4352,0.131458,,72607,20150331,12,IGAAP,,508886.3,,,,,14.81,15.46,14.81,0.65,78650.2,15.46,9.76,1.16,2.14,2.04,0.73,1.32,0.9,10874.1,10577.3,3215.6,3732.7,6663.8,19514.7,24326.2,7147.6,485,468,17,,,,,,,,3.27,,11.67,7.31,2015
UNION BANK OF INDIA,PUBLIC,0.9962516,0.7396918,0.2399001,0.6364015,0.4398168,0.2101039,Q3,257360,20150331,12,IGAAP,60.47,,10.74,7.6,,,7.24,10.22,7.5,2.72,,10.22,8.88,0.97,1.61,4.96,2.71,0.49,0.5,95637.4,130308.7,53402.5,69189.7,61119,181277,126287.9,54989.1,43921,43878,43,,,,,,,86.65,0,2.34,10.42,7.31,2015
PUNJAB & SIND BANK,PUBLIC,0.9946461,0.9518144,0.0148721,0.5829864,0.4759072,0.2690875,,183764,20150331,12,IGAAP,79.62,,11.88,8.51,67099.8,48075.5,8.48,11.24,8.48,2.76,,11.24,9.2,0.46,0.83,4.76,3.55,0.13,0.1,25535.2,30821.9,19186,22660,7920.2,83798.3,75671.4,8126.9,301,289,12,,,,,,,,1.8,,11.12,8.21,2015
CORPORATION BANK,PUBLIC,0.9964,0.7296,0.1024,0.6584,0.4312,0.3958241,,51380,20150331,12,IGAAP,,,11.8,8.28,,,7.34,11.09,8.05,3.04,,11.09,9.27,0.7,1.44,4.81,3.08,0.28,0.3,47367.9,71066.7,31805.6,44649.8,26071.5,154522.8,101083.3,52009.1,1025,957,68,,,,,,,72.77,2.07,1.93,11.07,7.97,2015
BANK OF INDIA,PUBLIC,0.9965398,0.7785467,0.0384468,0.6459054,0.4306036,0.3992962,,30148,20150331,12,IGAAP,64.43,,11.42,8.23,,,7.18,10.73,8.17,2.56,,10.73,6.81,0.66,1.17,,3.36,0.27,0,126788.1,231678.7,76795.1,137747,81518.1,258323,182653.4,75669.6,38749,38687,62,,,,,,,77.41,2.11,,8.36,5.7,2015
ALLAHABAD BANK,PUBLIC,0.9966716,0.8043639,0.1956361,0.650148,0.410503,0.4119311,,11019,20150331,12,IGAAP,60.83,,10.52,7.78,,,7.57,10.45,7.71,2.74,,10.45,9.25,0.93,2.09,5.46,3.99,0.29,0.256,80680.4,83579.7,57218.1,59788.9,23790.7,169190.9,94602.6,74588.3,8964,8914,50,,,,,,,79.6,3.1,16.32,10.91,,2015
SYNDICATE BANK,PUBLIC,0.9953513,0.7722108,0.25,0.6394628,0.4783058,0.488125,,245437,20150331,12,IGAAP,69.24,,10.92,0,0,0,7.53,10.54,7.84,2.7,,10.54,8.22,0.8,1.52,3.13,1.9,0.58,0.555,46111.3,64423.8,27206,38436.5,24668.8,107669.2,77888.1,29781.1,94525,94485,42,,,,,,,80.58,2.38,,9.34,6.73,2015
ORIENTAL BANK OF COMMERCE,PUBLIC,0.9965398,0.9246444,0.0096117,0.6366782,0.4152249,0.6133429,,164888,20150331,12,IGAAP,59.13,,,,,,8.09,11.41,8.73,2.68,,11.41,9.21,0.98,1.95,,3.34,0.23,0.246,56178.6,76662.2,39044.2,48162.4,27783.3,235049.5,152930.5,82119,22350,22265,85,,,,,,,72.59,2.61,,11.73,7.69,2015
INDIAN OVERSEAS BANK,PUBLIC,0.9913467,0.8615468,0.1216874,0.6446728,0.5213629,0.7024207,,98918,20150331,12,IGAAP,73.8,,,,,,6.55,10.11,7.3,2.81,,10.11,9.16,0.82,1.27,8.02,5.68,-0.16,-0.1,90204.8,149224.5,56581.2,98133.3,44572,204835.6,117873.7,86961.9,488,414,74,,,,,,,,,,,,2015
ANDHRA BANK,PUBLIC,0.9959258,0.8981439,0.1810774,0.6482571,0.4300589,0.7060267,,15214,20150331,12,IGAAP,61.02,,10.88,8.08,,,7.49,10.63,7.99,2.64,,10.63,9.64,0.88,1.94,5.31,2.93,0.38,0.3,58576,68765.4,33424.7,36886.3,31879.1,143654.1,103821.7,39832.4,269,230,39,,,,,,,83.61,3,,11.38,7.73,2015
BANK OF MAHARASHTRA,PUBLIC,0.9946461,0.8994646,0.1005354,0.6519929,0.4640095,0.842707,,30153,20150331,12,IGAAP,79.8,,,,,,7.48,11.94,8.76,3.18,,11.94,9.21,0.73,1.71,6.33,4.19,0.33,0.3,28598.5,64020.6,18406.6,41265.7,21364.9,86786.6,56707.5,30079.1,32510,32473,37,,,,,,,82.88,2.82,,,7.03,2015
KARNATAKA BANK LTD.,PRIVATE,0.9979339,0.8677686,0.1673554,0.6280991,0.4958677,0.962613,,117230,20150331,12,IGAAP,,,12.67,10.54,,,10.52,12.41,10.52,1.89,,12.41,9.47,1.02,1.56,2.95,1.98,0.91,0.6,8359.4,9442.1,5380.4,6235.5,3153.5,20238.5,16938.3,3300.2,773,762,11,,,,,,,,,,,,2015
PUNJAB NATIONAL BANK,PUBLIC,0.9955556,0.84,0.0597531,0.6548148,0.4977778,0.9910113,,183861,20150331,12,IGAAP,59.86,,12.99,9.63,515967,382453.4,8.74,12.21,9.3,2.91,,12.21,8,1.02,2.06,6.55,4.06,0.53,0.5,188800.6,256948.6,99169.9,153965,98017.6,423391,239411,183809.4,736,774,108,,,,,,,75.9,3.15,,9.88,6.09,2015
DHANLAXMI BANK LTD.,PRIVATE,0.9955556,0.9455556,0.01,0.66,0.4444444,1.028245,,59594,20150331,12,IGAAP,,,9.71,7.42,,,7.42,9.59,7.42,2.17,,9.59,9.39,0.62,0.19,7,3.29,-1.77,-0.011,4858.2,5582.9,3018.8,2526.3,2956.3,2607.1,1263.4,2072.6,22,16,8,,,,,,,,,,,,2015
UCO BANK,PUBLIC,0.9977324,0.9183673,0.127551,0.6349206,0.5,1.190718,,256249,20150331,12,IGAAP,72.83,,0,,,,8.94,12.17,9.05,3.12,,12.17,8.19,0.85,2.08,6.76,4.3,0.48,48.5,66213.7,102650.5,35564.2,63305.8,32571.3,123911,55573.5,68337.5,7246,7181,65,,,,,,,70.83,2.35,,9.92,6.35,2015
SOUTH INDIAN BANK LTD.,PRIVATE,0.9977324,0.8888889,0.1451247,0.6621315,0.4897959,1.358859,,231715,20150331,12,IGAAP,,315617.1,12.01,20.89,,,10.43,12.01,10.43,1.58,37893.9,12.01,9.55,0.9,1.59,1.71,0.96,0.56,0.4,4326.2,6434.5,2816.7,3570.5,2597.6,20678.4,13341.7,7336.5,43,34,9,,,,,,,,,,,,2015
JAMMU & KASHMIR BANK LTD.,PRIVATE,1.0,0.852071,0.0724852,0.6538461,0.5650887,1.813725,,107160,20150331,12,IGAAP,,,,,,,11.26,12.57,11.26,1.31,,12.57,9.73,0.82,2.53,5.97,2.77,0.7,0.5,7834.2,27640.8,1019.9,12363.2,14668.8,24673.3,16189.5,8483.8,5552,5538,14,,,,,,,,,,11.52,6.72,2015
