sa_finance1_cocode	sa_company_name	sa_finance1_year	sa_ann_rep_months	sa_fs_format	sa_pct_shares_hld_govt	sa_bd_tot_risk_wt_ast_and_contingencies	sa_bsl_cap_adeq_ratio	sa_bsl_t1_cap_adeq_ratio	sa_bsl_tot_elg_cap	sa_bsl_tier1_elg_cap	sa_bd_bsl3_cet1_cap_ratio	sa_bd_bsl3_cap_adeq_ratio	sa_bd_bsl3_t1_cap_adeq_ratio	sa_bd_bsl3_t2_cap_adeq_ratio	sa_bd_bsl3_cap_adeq_amt	sa_bd_cap_adeq_ratio_series	sa_bd_int_inc_pct_working_funds	sa_bd_non_int_inc_pct_working_funds	sa_bd_op_profit_pct_working_funds	sa_gnpa_advance	sa_bd_nnpa_pct_net_adv	sa_bd_return_on_ast	sa_bd_profit_per_employee	sa_bd_gross_npa_opening_bal	sa_bd_gross_npa_closing_bal	sa_bd_net_npa_opening_bal	sa_bd_net_npa_closing_bal	sa_bd_prov_for_npa	sa_total_gross_restruc_acs	sa_bd_non_corp_debt_restruct	sa_bd_corp_debt_restruct	sa_bd_total_no_borrower_restuct_acs	sa_bd_total_no_borrower_non_corp_debt_restruct	sa_bd_total_no_borrower_corp_debt_restruct	sa_bd_gross_npa_bank	sa_bd_gross_npa_rbi	sa_bd_divergence_gross_npa	sa_bd_net_npa_bank	sa_bd_net_npa_rbi	sa_bd_divergence_net_npa	sa_bd_credit_deposit_ratio	sa_net_int_margin	sa_bd_int_spread	sa_bd_avg_ret_on_adv	sa_bd_avg_cost_of_deposits
4800	ABHYUDAYA CO-OP. BANK LTD.	20090331	12	IGAAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.42	9.38	2.33	4.62	NA	NA	2.37	0.6	2041.8	2575.6	NA	NA	2677.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4800	ABHYUDAYA CO-OP. BANK LTD.	20100331	12	IGAAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.91	8.51	0.68	1.17	NA	NA	0.63	0.2	2575.7	3282.4	NA	602	3282.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.51
4800	ABHYUDAYA CO-OP. BANK LTD.	20110331	12	IGAAP	NA	38351.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.07	8.83	0.56	2.13	NA	NA	1.31	0.4	3282.4	3025.1	NA	820.8	2204.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.77	NA	NA	5.9
4800	ABHYUDAYA CO-OP. BANK LTD.	20120331	12	IGAAP	NA	46051.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.48	9.72	0.63	1.81	NA	NA	1.13	0.359	3025.1	3592.2	NA	1499.7	2092.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.27	NA	NA	6.89
4800	ABHYUDAYA CO-OP. BANK LTD.	20130331	12	IGAAP	NA	56843.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.22	10.09	1.27	2.12	NA	NA	1.05	0.38	3592.2	4485.6	NA	1845.7	2639.9	123.9	123.9	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.8
4800	ABHYUDAYA CO-OP. BANK LTD.	20140331	12	IGAAP	NA	68400.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.08	9.64	0.82	1.72	NA	NA	0.97	0.376	4485.6	5630.4	NA	2553.4	3076.9	1981.3	1981.3	NA	11	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.9
4800	ABHYUDAYA CO-OP. BANK LTD.	20150331	12	IGAAP	NA	66304.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.81	8.73	0.7	0.78	NA	NA	0.29	0.126	5630.4	11139	NA	6870.8	4268.1	1425.2	1425.2	NA	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.87
4800	ABHYUDAYA CO-OP. BANK LTD.	20160331	12	IGAAP	NA	67047.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.33	8.13	0.65	0.7	NA	NA	0.02	0.009	11139	13939.9	NA	7551.6	6388.3	263.5	263.5	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.49
4950	ABU DHABI COMMERCIAL BANK LTD.	20090331	12	IGAAP	NA	2309.1	46.67	0.9	1256.6	1232.9	NA	NA	NA	NA	NA	46.67	7.01	0.78	2.92	NA	NA	2.4	4.2	194.9	141.3	NA	NA	141.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	ABU DHABI COMMERCIAL BANK LTD.	20100331	12	IGAAP	NA	2620.9	NA	NA	1338.2	1308.9	NA	NA	NA	NA	NA	50.91	6.09	0.49	1.66	NA	0.19	1.13	1.9	141.3	140.9	NA	2.8	138.1	NA	96.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
